Game_id,Team,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination,Poste
1,FRA,7.0,R,R,1.0,1.0,1,0.0,M
1,GER,9.0,R,C,1.0,1.0,2,0.0,D
1,FRA,6.0,R,L,1.0,1.0,3,0.0,D
1,GER,2.0,R,C,1.0,1.0,4,0.0,M
1,FRA,9.0,R,L,1.0,1.0,5,0.0,A
1,GER,4.0,R,L,1.0,0.0,6,0.0,M
1,FRA,8.0,L,L,1.0,0.0,7,0.0,A
1,GER,3.0,R,R,1.0,1.0,8,0.0,M
1,FRA,9.0,R,L,1.0,1.0,9,0.0,M
1,GER,9.0,R,C,1.0,1.0,10,1.0,A
1,FRA,7.0,R,L,1.0,0.0,11,0.0,D
1,GER,9.0,R,C,1.0,1.0,12,1.0,A
2,BRA,4.0,R,L,1.0,0.0,1,0.0,M
2,FRA,2.0,R,R,1.0,1.0,2,0.0,A
2,BRA,6.0,R,R,1.0,1.0,3,0.0,M
2,FRA,6.0,R,R,1.0,1.0,4,0.0,D
2,BRA,8.0,R,L,1.0,1.0,5,0.0,M
2,FRA,9.0,L,R,1.0,1.0,6,0.0,A
2,BRA,4.0,L,R,1.0,1.0,7,0.0,D
2,FRA,1.0,R,R,0.0,0.0,8,0.0,M
2,BRA,7.0,R,L,0.0,0.0,9,0.0,D
2,FRA,7.0,R,R,1.0,1.0,10,1.0,M
3,GER,1.0,L,R,1.0,1.0,1,0.0,A
3,MEX,6.0,L,L,1.0,1.0,2,0.0,M
3,GER,8.0,L,L,1.0,1.0,3,0.0,D
3,MEX,8.0,R,L,1.0,0.0,4,0.0,D
3,GER,7.0,R,L,1.0,1.0,5,0.0,M
3,MEX,7.0,R,L,1.0,0.0,6,0.0,D
3,GER,4.0,R,L,1.0,1.0,7,1.0,M
4,SPA,7.0,R,R,1.0,1.0,1,0.0,M
4,BEL,9.0,R,L,1.0,1.0,2,0.0,A
4,SPA,7.0,R,L,1.0,0.0,3,0.0,A
4,BEL,4.0,R,R,1.0,1.0,4,0.0,M
4,SPA,1.0,R,L,1.0,1.0,5,0.0,D
4,BEL,7.0,R,R,1.0,1.0,6,0.0,D
4,SPA,1.0,R,L,1.0,1.0,7,0.0,A
4,BEL,5.0,L,R,1.0,1.0,8,0.0,D
4,SPA,1.0,R,R,1.0,1.0,9,1.0,M
4,BEL,5.0,R,L,1.0,1.0,10,1.0,M
5,ROM,3.0,L,R,1.0,1.0,1,0.0,M
5,IRE,2.0,L,R,1.0,1.0,2,0.0,M
5,ROM,9.0,R,R,1.0,1.0,3,0.0,M
5,IRE,9.0,R,L,1.0,1.0,4,0.0,M
5,ROM,4.0,L,L,1.0,1.0,5,0.0,M
5,IRE,7.0,L,R,1.0,1.0,6,0.0,M
5,ROM,1.0,R,L,1.0,1.0,7,0.0,M
5,IRE,8.0,L,L,1.0,1.0,8,0.0,A
5,ROM,7.0,R,L,1.0,0.0,9,0.0,M
5,IRE,6.0,R,l,1.0,1.0,10,1.0,D
6,ARG,6.0,R,L,1.0,1.0,1,0.0,D
6,YUG,1.0,R,R,0.0,0.0,2,0.0,M
6,ARG,1.0,R,R,1.0,1.0,3,0.0,M
6,YUG,4.0,R,R,1.0,1.0,4,0.0,M
6,ARG,7.0,L,L,1.0,0.0,5,0.0,M
6,YUG,7.0,L,R,1.0,1.0,6,0.0,M
6,ARG,3.0,R,L,0.0,0.0,7,0.0,M
6,YUG,7.0,R,L,1.0,0.0,8,0.0,M
6,ARG,7.0,R,C,1.0,1.0,9,0.0,A
6,YUG,6.0,R,R,1.0,0.0,10,1.0,D
7,ITA,8.0,R,R,1.0,1.0,1,0.0,D
7,ARG,5.0,R,L,1.0,1.0,2,0.0,D
7,ITA,4.0,R,L,1.0,1.0,3,0.0,A
7,ARG,8.0,R,R,1.0,1.0,4,0.0,M
7,ITA,4.0,L,L,1.0,1.0,5,0.0,D
7,ARG,9.0,R,L,1.0,1.0,6,0.0,D
7,ITA,6.0,R,R,1.0,0.0,7,0.0,M
7,ARG,7.0,L,R,1.0,1.0,8,0.0,M
7,ITA,9.0,L,R,1.0,0.0,9,1.0,A
8,ENG,7.0,R,R,1.0,1.0,1,0.0,A
8,GER,7.0,R,L,1.0,1.0,2,0.0,D
8,ENG,6.0,R,R,1.0,1.0,3,0.0,A
8,GER,4.0,R,L,1.0,1.0,4,0.0,M
8,ENG,1.0,R,L,1.0,0.0,5,0.0,M
8,GER,6.0,R,R,1.0,1.0,6,0.0,A
8,ENG,8.0,L,L,1.0,0.0,7,0.0,D
8,GER,6.0,R,R,1.0,1.0,8,0.0,M
8,ENG,1.0,L,L,0.0,0.0,9,1.0,M
9,MEX,2.0,L,R,0.0,0.0,1,0.0,M
9,BUL,4.0,L,l,1.0,0.0,2,0.0,M
9,MEX,9.0,R,R,1.0,0.0,3,0.0,M
9,BUL,2.0,R,R,1.0,1.0,4,0.0,A
9,MEX,7.0,R,L,1.0,0.0,5,0.0,M
9,BUL,1.0,R,L,1.0,1.0,6,0.0,M
9,MEX,9.0,R,C,1.0,1.0,7,0.0,D
9,BUL,3.0,R,R,1.0,1.0,8,1.0,M
10,SWE,2.0,R,R,0.0,0.0,1,0.0,M
10,RUM,9.0,R,R,1.0,1.0,2,0.0,A
10,SWE,6.0,R,R,1.0,1.0,3,0.0,A
10,RUM,9.0,L,L,1.0,1.0,4,0.0,M
10,SWE,7.0,R,C,1.0,1.0,5,0.0,A
10,RUM,4.0,R,R,1.0,1.0,6,0.0,M
10,SWE,7.0,R,R,1.0,1.0,7,0.0,M
10,RUM,5.0,R,R,1.0,0.0,8,0.0,D
10,SWE,2.0,R,L,1.0,1.0,9,0.0,D
